Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Identifier_encoded
FDV10,7.645,Regular,0.06669343700000001,2277.3217391666685,42.3112,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1065.28,0.5965362411802437
DRJ59,11.65,Low Fat,0.019356131999999998,2139.2216224299054,39.1164,OUT013,1987,High,2279.6276513432786,2316.1811481083005,308.9312,0.5978191148171905
FDE51,5.925,Regular,0.161466534,2232.5425970674487,45.5086,OUT010,1998,High,2279.6276513432786,339.8285004616805,178.4344,0.3559974342527261
FDC14,12.857645184135976,Regular,0.072221801,2225.194903852079,43.6454,OUT019,1985,Small,1876.9091591289784,339.8285004616805,125.8362,0.33867864015394483
FDV38,19.25,Low Fat,0.17034855100000001,2232.5425970674487,55.7956,OUT010,1998,High,2279.6276513432786,339.8285004616805,163.7868,0.3559974342527261
NCS17,18.6,Low Fat,0.080829372,2010.0002650000006,96.4436,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,2741.7644,0.5952533675432969
FDP33,18.7,Low Fat,0.0,2277.3217391666685,256.6672,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,3068.0064,0.5952533675432969
FDO23,17.85,Low Fat,0.0,2204.132226294819,93.1436,OUT045,2002,High,2323.990558850987,2316.1811481083005,2174.5028,0.5958948043617703
DRH01,17.5,Low Fat,0.097904029,2006.5117348314586,174.8738,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2085.2856,0.5965362411802437
NCX29,10.0,Low Fat,0.08929113699999999,2010.0002650000006,146.7102,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,3791.0652,0.5965362411802437
FDV20,12.857645184135976,Regular,0.059511812000000004,2289.009591558443,128.0678,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,2797.6916,0.5997434252726106
DRZ11,8.85,Regular,0.113123893,2006.5117348314586,122.5388,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,1609.9044,0.5952533675432969
FDX10,12.857645184135976,Regular,0.12311145300000001,2277.3217391666685,36.9874,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,388.1614,0.5997434252726106
FDB34,12.857645184135976,Low Fat,0.026480953999999998,2277.3217391666685,87.6198,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,2180.495,0.5997434252726106
FDU02,13.35,Low Fat,0.102511504,2232.5425970674487,230.6352,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,3435.528,0.5965362411802437
FDK43,9.8,Low Fat,0.02681843,2158.9779105882344,126.00200000000001,OUT013,1987,High,2279.6276513432786,2316.1811481083005,2150.534,0.5978191148171905
FDA46,13.6,Low Fat,0.117818348,2277.3217391666685,192.9136,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,2527.3768,0.5965362411802437
FDC02,21.35,Low Fat,0.06910283099999999,2225.194903852079,259.9278,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,6768.5228,0.5952533675432969
FDL50,12.15,Regular,0.042277867000000004,2225.194903852079,126.5046,OUT013,1987,High,2279.6276513432786,2316.1811481083005,373.5138,0.5978191148171905
FDM39,6.42,Low Fat,0.08949892599999999,2232.5425970674487,178.1002,OUT010,1998,High,2279.6276513432786,339.8285004616805,358.2004,0.3559974342527261
NCP05,19.6,Low Fat,0.0,2010.0002650000006,153.3024,OUT045,2002,High,2323.990558850987,2316.1811481083005,2428.8384,0.5958948043617703
FDV49,10.0,Low Fat,0.025879577,2225.194903852079,265.2226,OUT045,2002,High,2323.990558850987,2316.1811481083005,5815.0972,0.5958948043617703
FDL12,15.85,Regular,0.121632721,1952.9712070987655,60.622,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2576.646,0.5965362411802437
FDS02,12.857645184135976,Regular,0.25539489600000004,2232.5425970674487,196.8794,OUT019,1985,Small,1876.9091591289784,339.8285004616805,780.3176,0.33867864015394483
NCL17,7.39,Low Fat,0.067779712,2010.0002650000006,143.8812,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,3134.5864,0.5965362411802437
FDM40,10.195,Low Fat,0.159803853,2132.8677436915864,141.5154,OUT013,1987,High,2279.6276513432786,2316.1811481083005,850.8924,0.5978191148171905
FDR13,9.895,Regular,0.028696932,2225.194903852079,117.0492,OUT013,1987,High,2279.6276513432786,2316.1811481083005,810.9444,0.5978191148171905
FDA43,10.895,Low Fat,0.065041581,2289.009591558443,196.3794,OUT017,2007,High,2323.990558850987,2316.1811481083005,3121.2704,0.5939704939063503
NCP18,12.15,Low Fat,0.028760012999999997,2258.7843002197783,151.4708,OUT017,2007,High,2323.990558850987,2316.1811481083005,4815.0656,0.5939704939063503
FDK21,7.905,Low Fat,0.010053105,2277.3217391666685,249.0408,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,6258.52,0.5952533675432969
NCX54,9.195,Low Fat,0.048157338,2258.7843002197783,106.1622,OUT045,2002,High,2323.990558850987,2316.1811481083005,2117.244,0.5958948043617703
DRK35,8.365,Low Fat,0.071958197,2139.2216224299054,38.0506,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,796.9626,0.5965362411802437
FDY21,15.1,Low Fat,0.17348130399999998,2277.3217391666685,194.511,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,4910.275,0.5965362411802437
FDI26,12.857645184135976,Low Fat,0.061082177,2225.194903852079,180.0344,OUT019,1985,Small,1876.9091591289784,339.8285004616805,892.172,0.33867864015394483
FDM20,10.0,Low Fat,0.0,2289.009591558443,246.9144,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,3185.1872,0.5952533675432969
FDV27,7.97,Regular,0.040071131,2158.9779105882344,87.3514,OUT045,2002,High,2323.990558850987,2316.1811481083005,1062.6168,0.5958948043617703
FDF09,12.857645184135976,Low Fat,0.012090074,2289.009591558443,38.2848,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,484.7024,0.5997434252726106
FDY40,12.857645184135976,Regular,0.15028599,2132.8677436915864,51.0692,OUT019,1985,Small,1876.9091591289784,339.8285004616805,147.8076,0.33867864015394483
FDY45,12.857645184135976,Low Fat,0.026015518999999997,2277.3217391666685,255.8356,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,2543.356,0.5997434252726106
FDC46,17.7,Low Fat,0.195068226,2277.3217391666685,185.4266,OUT010,1998,High,2279.6276513432786,339.8285004616805,184.4266,0.3559974342527261
FDH19,19.35,Low Fat,0.033082215,2158.9779105882344,172.5738,OUT035,2004,Small,2323.990558850987,2316.1811481083005,4865.6664,0.5965362411802437
FDZ03,13.65,Regular,0.078946455,2232.5425970674487,186.024,OUT045,2002,High,2323.990558850987,2316.1811481083005,1118.5439999999999,0.5958948043617703
DRH37,17.6,Low Fat,0.041700756,2006.5117348314586,164.8526,OUT045,2002,High,2323.990558850987,2316.1811481083005,2302.3364,0.5958948043617703
NCI17,8.645,Low Fat,0.14342264300000002,2010.0002650000006,95.84100000000001,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2027.361,0.5965362411802437
FDJ58,15.6,Regular,0.10529607199999999,2277.3217391666685,170.1764,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,3435.528,0.5965362411802437
FDL12,15.85,Regular,0.121531501,1952.9712070987655,59.222,OUT013,1987,High,2279.6276513432786,2316.1811481083005,599.22,0.5978191148171905
FDH35,18.25,Low Fat,0.0,2374.3327729729745,164.7526,OUT045,2002,High,2323.990558850987,2316.1811481083005,4604.6728,0.5958948043617703
FDG02,7.855,Low Fat,0.011324862,2225.194903852079,189.6188,OUT017,2007,High,2323.990558850987,2316.1811481083005,2285.0256,0.5939704939063503
NCZ18,7.825,Low Fat,0.186357148,2258.7843002197783,254.3698,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,5580.7356,0.5965362411802437
FDC29,8.39,Regular,0.024205661,2132.8677436915864,114.0176,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2290.3520000000003,0.5965362411802437
FDQ10,12.85,Low Fat,0.033230816,2277.3217391666685,172.3422,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,1207.0954,0.5965362411802437
FDN48,12.857645184135976,Low Fat,0.113720344,1952.9712070987655,89.9804,OUT019,1985,Small,1876.9091591289784,339.8285004616805,643.1628,0.33867864015394483
FDL04,19.0,Low Fat,0.11255650699999999,2132.8677436915864,104.9622,OUT017,2007,High,2323.990558850987,2316.1811481083005,1587.933,0.5939704939063503
FDV25,5.905,Low Fat,0.0,2225.194903852079,222.5456,OUT045,2002,High,2323.990558850987,2316.1811481083005,5305.0944,0.5958948043617703
FDD58,7.76,Low Fat,0.05935224099999999,2277.3217391666685,101.87,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1697.79,0.5965362411802437
FDN04,11.8,Regular,0.014087057,2132.8677436915864,180.3344,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1427.4752,0.5965362411802437
FDV45,16.75,Low Fat,0.045230944,2277.3217391666685,187.9556,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,4693.89,0.5952533675432969
NCL18,12.857645184135976,Low Fat,0.293417759,2258.7843002197783,194.6136,OUT019,1985,Small,1876.9091591289784,339.8285004616805,583.2408,0.33867864015394483
FDR12,12.857645184135976,Regular,0.031382044,1952.9712070987655,171.3764,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,3091.9752,0.5997434252726106
FDG20,15.5,Regular,0.12639886,2289.009591558443,177.0028,OUT017,2007,High,2323.990558850987,2316.1811481083005,2479.4392,0.5939704939063503
FDZ55,6.055,Low Fat,0.025403897999999998,2289.009591558443,160.99200000000002,OUT035,2004,Small,2323.990558850987,2316.1811481083005,2716.4640000000004,0.5965362411802437
FDQ49,12.857645184135976,Regular,0.039057677,2111.8086509090913,155.963,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,3285.723,0.5997434252726106
FDN33,6.305,Regular,0.123115764,2277.3217391666685,95.6436,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,661.8052,0.5965362411802437
FDN27,20.85,Low Fat,0.039624006,2158.9779105882344,117.2808,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,1523.3504,0.5965362411802437
FDW20,20.75,Low Fat,0.040421193,2289.009591558443,122.17299999999999,OUT010,1998,High,2279.6276513432786,339.8285004616805,369.519,0.3559974342527261
DRG27,8.895,Low Fat,0.10527411099999999,2232.5425970674487,39.9138,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,690.4346,0.5965362411802437
DRI25,19.6,Low Fat,0.033970195,2006.5117348314586,55.1614,OUT045,2002,High,2323.990558850987,2316.1811481083005,1381.535,0.5958948043617703
FDA44,19.7,Low Fat,0.053212652,2289.009591558443,57.893,OUT035,2004,Small,2323.990558850987,2316.1811481083005,622.523,0.5965362411802437
NCR17,9.8,Low Fat,0.024378706,2010.0002650000006,114.5492,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1274.3412,0.5965362411802437
FDU04,12.857645184135976,Low Fat,0.009714595,2132.8677436915864,120.0414,OUT019,1985,Small,1876.9091591289784,339.8285004616805,487.3656,0.33867864015394483
FDF41,12.15,Low Fat,0.131383762,2132.8677436915864,246.046,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,1231.73,0.5965362411802437
FDB56,8.75,Regular,0.07461309,2289.009591558443,187.4556,OUT035,2004,Small,2323.990558850987,2316.1811481083005,3755.112,0.5965362411802437
NCP18,12.857645184135976,Low Fat,0.028459761,2258.7843002197783,149.9708,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,4363.6532,0.5997434252726106
FDB56,8.75,Regular,0.07462720099999999,2289.009591558443,187.8556,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1314.2892,0.5965362411802437
FDT28,13.3,Low Fat,0.063695084,2132.8677436915864,151.0708,OUT045,2002,High,2323.990558850987,2316.1811481083005,1805.6496,0.5958948043617703
FDD10,12.857645184135976,Regular,0.045797829000000005,2277.3217391666685,178.5344,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,2854.9504,0.5997434252726106
FDW57,8.31,Regular,0.11585722300000001,2277.3217391666685,179.1028,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,3896.2616,0.5965362411802437
DRB48,16.75,Regular,0.024832806000000002,2006.5117348314586,38.7822,OUT013,1987,High,2279.6276513432786,2316.1811481083005,667.7974,0.5978191148171905
FDP09,19.75,Low Fat,0.034027909,2277.3217391666685,212.0902,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,3185.853,0.5952533675432969
FDH14,17.1,Regular,0.046769599999999995,2225.194903852079,141.1838,OUT013,1987,High,2279.6276513432786,2316.1811481083005,2247.7408,0.5978191148171905
FDA47,10.5,Regular,0.11657670199999999,1952.9712070987655,163.121,OUT013,1987,High,2279.6276513432786,2316.1811481083005,1794.3310000000001,0.5978191148171905
FDG12,6.635,Regular,0.0,1952.9712070987655,121.3098,OUT045,2002,High,2323.990558850987,2316.1811481083005,2530.7058,0.5958948043617703
DRE60,12.857645184135976,Low Fat,0.278974075,2006.5117348314586,225.372,OUT019,1985,Small,1876.9091591289784,339.8285004616805,679.1160000000001,0.33867864015394483
DRK49,14.15,Low Fat,0.035913805,2006.5117348314586,41.4138,OUT013,1987,High,2279.6276513432786,2316.1811481083005,812.2760000000001,0.5978191148171905
FDD03,13.3,Low Fat,0.079806266,2232.5425970674487,232.53,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,699.09,0.5965362411802437
FDS52,8.89,Low Fat,0.005505481,2132.8677436915864,102.4016,OUT017,2007,High,2323.990558850987,2316.1811481083005,2732.4432,0.5939704939063503
FDW39,12.857645184135976,Regular,0.064625342,2158.9779105882344,176.937,OUT019,1985,Small,1876.9091591289784,339.8285004616805,176.437,0.33867864015394483
FDX34,12.857645184135976,Low Fat,0.071636937,2277.3217391666685,121.7098,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,4097.3332,0.5997434252726106
FDV11,9.1,Regular,0.0,2204.132226294819,173.2054,OUT045,2002,High,2323.990558850987,2316.1811481083005,3151.8972,0.5958948043617703
FDD17,7.5,Low Fat,0.032677677999999995,2132.8677436915864,239.0906,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,5942.265,0.5965362411802437
FDZ16,16.85,Regular,0.160760054,2132.8677436915864,192.4478,OUT017,2007,High,2323.990558850987,2316.1811481083005,4843.695,0.5939704939063503
FDZ46,7.485,Low Fat,0.06911065,2277.3217391666685,109.0228,OUT035,2004,Small,2323.990558850987,2316.1811481083005,2542.0244,0.5965362411802437
DRA12,11.6,Low Fat,0.041177505,2006.5117348314586,140.3154,OUT017,2007,High,2323.990558850987,2316.1811481083005,2552.6772,0.5939704939063503
FDY58,11.65,Low Fat,0.040081193,2277.3217391666685,227.0694,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,1141.847,0.5952533675432969
NCF19,13.0,Low Fat,0.035307322,2258.7843002197783,47.5034,OUT017,2007,High,2323.990558850987,2316.1811481083005,680.4476,0.5939704939063503
DRJ13,12.65,Low Fat,0.063017847,2006.5117348314586,159.0578,OUT045,2002,High,2323.990558850987,2316.1811481083005,2085.9514,0.5958948043617703
FDB14,20.25,Regular,0.171938781,2225.194903852079,92.512,OUT010,1998,High,2279.6276513432786,339.8285004616805,186.424,0.3559974342527261
FDJ38,8.6,Regular,0.040197932,2225.194903852079,190.153,OUT035,2004,Small,2323.990558850987,2316.1811481083005,3036.048,0.5965362411802437
FDW11,12.6,Low Fat,0.049058014000000004,2204.132226294819,62.7194,OUT017,2007,High,2323.990558850987,2316.1811481083005,866.8716,0.5939704939063503
FDL40,17.7,Low Fat,0.01161096,2132.8677436915864,95.041,OUT035,2004,Small,2323.990558850987,2316.1811481083005,868.8689999999999,0.5965362411802437
DRI49,14.15,Low Fat,0.183507295,2006.5117348314586,82.4276,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1137.1864,0.5965362411802437
FDV38,19.25,Low Fat,0.102349519,2232.5425970674487,52.7956,OUT017,2007,High,2323.990558850987,2316.1811481083005,928.1252,0.5939704939063503
DRG23,8.88,Low Fat,0.08670898699999999,2139.2216224299054,151.7682,OUT013,1987,High,2279.6276513432786,2316.1811481083005,762.341,0.5978191148171905
NCP30,20.5,Low Fat,0.032835147,2258.7843002197783,40.2822,OUT045,2002,High,2323.990558850987,2316.1811481083005,707.0796,0.5958948043617703
FDY25,12.857645184135976,Low Fat,0.033809913,2225.194903852079,180.5976,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,7968.2944,0.5997434252726106
NCH54,13.5,Low Fat,0.07266912,2258.7843002197783,160.292,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1438.128,0.5965362411802437
NCR53,12.857645184135976,Low Fat,0.144338493,2010.0002650000006,224.4404,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,6976.2524,0.5997434252726106
FDS52,8.89,Low Fat,0.009163216,2132.8677436915864,101.7016,OUT010,1998,High,2279.6276513432786,339.8285004616805,101.2016,0.3559974342527261
FDG02,7.855,Low Fat,0.011307038,2225.194903852079,188.5188,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,952.0939999999999,0.5952533675432969
NCO26,7.235,Low Fat,0.076855628,2258.7843002197783,116.0492,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,1969.4364,0.5965362411802437
FDH35,12.857645184135976,Low Fat,0.059956876,2374.3327729729745,165.4526,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,5262.4832,0.5997434252726106
FDB51,6.92,Low Fat,0.038532062,2232.5425970674487,60.5852,OUT045,2002,High,2323.990558850987,2316.1811481083005,1314.2892,0.5958948043617703
FDX44,9.3,Low Fat,0.043209581,2289.009591558443,90.8172,OUT017,2007,High,2323.990558850987,2316.1811481083005,535.3032,0.5939704939063503
NCN07,18.5,Low Fat,0.056816465,1926.139701775148,132.1284,OUT010,1998,High,2279.6276513432786,339.8285004616805,263.6568,0.3559974342527261
NCC31,8.02,Low Fat,0.019866705,2258.7843002197783,154.5972,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1402.1748,0.5965362411802437
NCX54,9.195,Low Fat,0.048331717,2258.7843002197783,105.1622,OUT017,2007,High,2323.990558850987,2316.1811481083005,1693.7952,0.5939704939063503
NCO55,12.8,Low Fat,0.091221855,1926.139701775148,105.5938,OUT045,2002,High,2323.990558850987,2316.1811481083005,2143.876,0.5958948043617703
NCC30,16.6,Low Fat,0.027622076000000002,2258.7843002197783,177.6344,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,2676.5159999999996,0.5965362411802437
FDI16,14.0,Regular,0.0,2132.8677436915864,53.06399999999999,OUT035,2004,Small,2323.990558850987,2316.1811481083005,905.488,0.5965362411802437
FDP16,18.6,Low Fat,0.039355947,2132.8677436915864,246.3802,OUT049,1999,Medium,1876.9091591289784,2316.1811481083005,7370.406,0.5965362411802437
FDB11,16.0,Low Fat,0.060836524,2374.3327729729745,226.8404,OUT035,2004,Small,2323.990558850987,2316.1811481083005,6301.1312,0.5965362411802437
NCB06,17.6,Low Fat,0.082316506,2010.0002650000006,160.692,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1597.92,0.5965362411802437
FDA45,21.25,Low Fat,0.155350299,2277.3217391666685,178.237,OUT035,2004,Small,2323.990558850987,2316.1811481083005,529.311,0.5965362411802437
NCO26,7.235,Low Fat,0.076841095,2258.7843002197783,117.5492,OUT035,2004,Small,2323.990558850987,2316.1811481083005,1969.4364,0.5965362411802437
DRJ25,14.6,Low Fat,0.151419185,2006.5117348314586,50.3692,OUT017,2007,High,2323.990558850987,2316.1811481083005,1034.6532,0.5939704939063503
FDR28,13.85,Regular,0.026001976,2132.8677436915864,161.52100000000002,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,1794.3310000000001,0.5952533675432969
FDI04,13.65,Regular,0.073209447,2132.8677436915864,197.6426,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,2768.3964,0.5952533675432969
DRK12,12.857645184135976,Low Fat,0.041683481,2006.5117348314586,31.29,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,898.83,0.5997434252726106
FDX20,7.365,Low Fat,0.042560252,2289.009591558443,226.172,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,3169.208,0.5965362411802437
NCI18,18.35,Low Fat,0.014081156000000001,2258.7843002197783,223.5746,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,3589.9936,0.5952533675432969
FDB36,5.465,Regular,0.0,1952.9712070987655,132.5626,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,262.3252,0.5952533675432969
FDN13,18.6,Low Fat,0.152918384,2111.8086509090913,99.8358,OUT017,2007,High,2323.990558850987,2316.1811481083005,1910.1802,0.5939704939063503
DRD24,13.85,Low Fat,0.030969273999999998,2006.5117348314586,140.9154,OUT017,2007,High,2323.990558850987,2316.1811481083005,1701.7848,0.5939704939063503
FDQ28,14.0,Regular,0.06037677599999999,2132.8677436915864,154.5656,OUT013,1987,High,2279.6276513432786,2316.1811481083005,2471.4496,0.5978191148171905
FDM22,14.0,Regular,0.04192285,2277.3217391666685,54.763999999999996,OUT013,1987,High,2279.6276513432786,2316.1811481083005,1331.6,0.5978191148171905
FDR07,12.857645184135976,Low Fat,0.077367431,2289.009591558443,97.0094,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,1808.9786,0.5997434252726106
FDV25,5.905,Low Fat,0.045838211,2225.194903852079,222.5456,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,3315.684,0.5952533675432969
DRF49,7.27,Low Fat,0.071077939,2006.5117348314586,114.2518,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2618.5914,0.5965362411802437
FDW51,6.155,Regular,0.09465987099999999,2158.9779105882344,214.55599999999998,OUT046,1997,Small,1876.9091591289784,2316.1811481083005,2769.728,0.5965362411802437
DRL01,19.5,Regular,0.077608838,2006.5117348314586,233.4958,OUT017,2007,High,2323.990558850987,2316.1811481083005,5375.0034,0.5939704939063503
FDP25,15.2,Low Fat,0.021327477,2225.194903852079,216.8824,OUT017,2007,High,2323.990558850987,2316.1811481083005,2838.9712,0.5939704939063503
FDL50,12.15,Regular,0.042485444000000004,2225.194903852079,125.0046,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,1743.0644,0.5952533675432969
NCB30,12.857645184135976,Low Fat,0.025578526,2258.7843002197783,198.8084,OUT027,1985,Medium,2279.6276513432786,3694.038557647059,5555.4352,0.5997434252726106
FDW11,12.6,Low Fat,0.048980800000000005,2204.132226294819,61.9194,OUT018,2009,Medium,2279.6276513432786,1995.4987392241392,619.194,0.5952533675432969
NCM43,14.5,Low Fat,0.019471688,1926.139701775148,164.821,OUT035,2004,Small,2323.990558850987,2316.1811481083005,2120.573,0.5965362411802437
FDK44,16.6,Low Fat,0.122918852,2289.009591558443,173.0738,OUT017,2007,High,2323.990558850987,2316.1811481083005,3823.0236,0.5939704939063503
FDM15,11.8,Regular,0.057373797000000004,2158.9779105882344,151.4366,OUT013,1987,High,2279.6276513432786,2316.1811481083005,1360.2294,0.5978191148171905
FDS31,13.1,Regular,0.044155597000000005,2289.009591558443,178.8318,OUT013,1987,High,2279.6276513432786,2316.1811481083005,3969.4996,0.5978191148171905
FDI32,17.7,Low Fat,0.291865402,2289.009591558443,115.1834,OUT010,1998,High,2279.6276513432786,339.8285004616805,345.5502,0.3559974342527261
