Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sale_level,nu_Item_sale,Store_running_from
FDC46,17.7,1,0.195068226,Snack Foods,185.4266,OUT010,1998,1.0,2,1,184.4266,3,0.994607030490771,15
FDH19,19.35,3,0.033082215,Meat,172.5738,OUT035,2004,1.0,3,3,4865.6664,1,28.194699311251185,9
FDZ03,13.65,2,0.078946455,Dairy,186.024,OUT045,2002,3.0,3,3,1118.5439999999999,3,6.012901561088891,11
DRH37,17.6,3,0.041700756,Soft Drinks,164.8526,OUT045,2002,3.0,3,3,2302.3364,2,13.966030259759325,11
NCI17,8.645,3,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,1.0,1,3,2027.361,2,21.153379034025104,16
FDJ58,15.6,2,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,1.0,1,3,3435.528,2,20.188040174783342,16
FDL12,15.85,2,0.121531501,Baking Goods,59.222,OUT013,1987,2.0,2,3,599.22,3,10.11819931782108,26
FDH35,18.25,3,0.0,Starchy Foods,164.7526,OUT045,2002,3.0,3,3,4604.6728,1,27.949014461683763,11
FDG02,7.855,3,0.011324862,Canned,189.6188,OUT017,2007,3.0,3,3,2285.0256,2,12.050627891327231,6
NCZ18,7.825,1,0.186357148,Household,254.3698,OUT049,1999,3.0,1,3,5580.7356,1,21.939458221848664,14
FDC29,8.39,2,0.024205661,Frozen Foods,114.0176,OUT046,1997,1.0,1,3,2290.3520000000003,2,20.087705757707585,16
FDQ10,12.85,3,0.033230816,Snack Foods,172.3422,OUT049,1999,3.0,1,3,1207.0954,3,7.004061686574733,14
FDN48,12.857645184135976,3,0.113720344,Baking Goods,89.9804,OUT019,1985,1.0,1,1,643.1628,3,7.147809967504033,28
FDL04,19.0,3,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,3.0,3,3,1587.933,3,15.128617730954574,6
FDV25,5.905,3,0.0,Canned,222.5456,OUT045,2002,3.0,3,3,5305.0944,1,23.83823539984614,11
FDD58,7.76,3,0.05935224099999999,Snack Foods,101.87,OUT046,1997,1.0,1,3,1697.79,3,16.66624128791597,16
FDN04,11.8,1,0.014087057,Frozen Foods,180.3344,OUT046,1997,1.0,1,3,1427.4752,3,7.915712143661998,16
FDV45,16.75,1,0.045230944,Snack Foods,187.9556,OUT018,2009,3.0,2,2,4693.89,1,24.973397972712707,4
NCL18,12.857645184135976,3,0.293417759,Household,194.6136,OUT019,1985,1.0,1,1,583.2408,3,2.9969169677761474,28
FDR12,12.857645184135976,2,0.031382044,Baking Goods,171.3764,OUT027,1985,3.0,2,4,3091.9752,2,18.042012785891174,28
FDG20,15.5,2,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,3.0,3,3,2479.4392,2,14.007909479398064,6
FDZ55,6.055,3,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,1.0,3,3,2716.4640000000004,2,16.873285629099584,9
FDQ49,12.857645184135976,2,0.039057677,Breakfast,155.963,OUT027,1985,3.0,2,4,3285.723,2,21.06732366009887,28
FDN33,6.305,2,0.123115764,Snack Foods,95.6436,OUT046,1997,1.0,1,3,661.8052,3,6.919492783625877,16
FDN27,20.85,3,0.039624006,Meat,117.2808,OUT049,1999,3.0,1,3,1523.3504,3,12.988915491708788,14
FDW20,20.75,3,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,1.0,2,1,369.519,3,3.0245553436520347,15
DRG27,8.895,3,0.10527411099999999,Dairy,39.9138,OUT049,1999,3.0,1,3,690.4346,3,17.29814249708121,14
DRI25,19.6,3,0.033970195,Soft Drinks,55.1614,OUT045,2002,3.0,3,3,1381.535,3,25.045321547313883,11
FDA44,19.7,3,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,1.0,3,3,622.523,3,10.752992589777694,9
NCR17,9.8,3,0.024378706,Health and Hygiene,114.5492,OUT035,2004,1.0,3,3,1274.3412,3,11.124837187863381,9
FDU04,12.857645184135976,3,0.009714595,Frozen Foods,120.0414,OUT019,1985,1.0,1,1,487.3656,3,4.059979307139037,28
FDF41,12.15,3,0.131383762,Frozen Foods,246.046,OUT049,1999,3.0,1,3,1231.73,3,5.0060964209944485,14
FDB56,8.75,2,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,1.0,3,3,3755.112,2,20.0320075793948,9
NCP18,12.857645184135976,3,0.028459761,Household,149.9708,OUT027,1985,3.0,2,4,4363.6532,1,29.09668548810835,28
FDB56,8.75,2,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,1.0,1,3,1314.2892,3,6.9962737336549985,16
FDT28,13.3,3,0.063695084,Frozen Foods,151.0708,OUT045,2002,3.0,3,3,1805.6496,3,11.952340227231206,11
FDD10,12.857645184135976,2,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,3.0,2,4,2854.9504,2,15.991038141669057,28
FDW57,8.31,2,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,3.0,1,3,3896.2616,2,21.754331032234,14
DRB48,16.75,2,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,2.0,2,3,667.7974,3,17.21917271325505,26
FDP09,19.75,3,0.034027909,Snack Foods,212.0902,OUT018,2009,3.0,2,2,3185.853,2,15.021217387696366,4
FDH14,17.1,2,0.046769599999999995,Canned,141.1838,OUT013,1987,2.0,2,3,2247.7408,2,15.920670785175071,26
FDA47,10.5,2,0.11657670199999999,Baking Goods,163.121,OUT013,1987,2.0,2,3,1794.3310000000001,3,11.0,26
FDG12,6.635,2,0.0,Baking Goods,121.3098,OUT045,2002,3.0,3,3,2530.7058,2,20.861511600876437,11
DRE60,12.857645184135976,1,0.278974075,Soft Drinks,225.372,OUT019,1985,1.0,1,1,679.1160000000001,3,3.0133113252755446,28
DRK49,14.15,3,0.035913805,Soft Drinks,41.4138,OUT013,1987,2.0,2,3,812.2760000000001,3,19.613655351597778,26
FDD03,13.3,3,0.079806266,Dairy,232.53,OUT046,1997,1.0,1,3,699.09,3,3.006450780544446,16
FDS52,8.89,1,0.005505481,Frozen Foods,102.4016,OUT017,2007,3.0,3,3,2732.4432,2,26.68359869377041,6
FDW39,12.857645184135976,2,0.064625342,Meat,176.937,OUT019,1985,1.0,1,1,176.437,3,0.9971741354267338,28
FDX34,12.857645184135976,3,0.071636937,Snack Foods,121.7098,OUT027,1985,3.0,2,4,4097.3332,1,33.664776377908765,28
FDV11,9.1,2,0.0,Breads,173.2054,OUT045,2002,3.0,3,3,3151.8972,2,18.197453428126373,11
FDD17,7.5,3,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,3.0,1,3,5942.265,1,24.85361197805351,14
FDZ16,16.85,2,0.160760054,Frozen Foods,192.4478,OUT017,2007,3.0,3,3,4843.695,1,25.168876962999835,6
FDZ46,7.485,3,0.06911065,Snack Foods,109.0228,OUT035,2004,1.0,3,3,2542.0244,2,23.31644756876543,9
DRA12,11.6,3,0.041177505,Soft Drinks,140.3154,OUT017,2007,3.0,3,3,2552.6772,2,18.192423639885572,6
FDY58,11.65,3,0.040081193,Snack Foods,227.0694,OUT018,2009,3.0,2,2,1141.847,3,5.0286256096153865,4
NCF19,13.0,3,0.035307322,Household,47.5034,OUT017,2007,3.0,3,3,680.4476,3,14.324187321328578,6
DRJ13,12.65,1,0.063017847,Soft Drinks,159.0578,OUT045,2002,3.0,3,3,2085.9514,2,13.11442381323016,11
FDB14,20.25,2,0.171938781,Canned,92.512,OUT010,1998,1.0,2,1,186.424,3,2.015133171912833,15
FDJ38,8.6,2,0.040197932,Canned,190.153,OUT035,2004,1.0,3,3,3036.048,2,15.966342892302514,9
FDW11,12.6,3,0.049058014000000004,Breads,62.7194,OUT017,2007,3.0,3,3,866.8716,3,13.821426863139633,6
FDL40,17.7,3,0.01161096,Frozen Foods,95.041,OUT035,2004,1.0,3,3,868.8689999999999,3,9.142043959975169,9
DRI49,14.15,3,0.183507295,Soft Drinks,82.4276,OUT046,1997,1.0,1,3,1137.1864,3,13.796184773061452,16
FDV38,19.25,3,0.102349519,Dairy,52.7956,OUT017,2007,3.0,3,3,928.1252,3,17.579593754024955,6
DRG23,8.88,3,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,2.0,2,3,762.341,3,5.023061484553417,26
NCP30,20.5,3,0.032835147,Household,40.2822,OUT045,2002,3.0,3,3,707.0796,3,17.55315250904866,11
FDY25,12.857645184135976,3,0.033809913,Canned,180.5976,OUT027,1985,3.0,2,4,7968.2944,1,44.12181778716882,28
NCH54,13.5,3,0.07266912,Household,160.292,OUT046,1997,1.0,1,3,1438.128,3,8.971926234621815,16
NCR53,12.857645184135976,3,0.144338493,Health and Hygiene,224.4404,OUT027,1985,3.0,2,4,6976.2524,1,31.082872780479807,28
FDS52,8.89,3,0.009163216,Frozen Foods,101.7016,OUT010,1998,1.0,2,1,101.2016,3,0.9950836565009793,15
FDG02,7.855,3,0.011307038,Canned,188.5188,OUT018,2009,3.0,2,2,952.0939999999999,3,5.0503928520656824,4
NCO26,7.235,3,0.076855628,Household,116.0492,OUT046,1997,1.0,1,3,1969.4364,3,16.970702081530938,16
FDH35,12.857645184135976,3,0.059956876,Starchy Foods,165.4526,OUT027,1985,3.0,2,4,5262.4832,1,31.806591132445185,28
FDB51,6.92,3,0.038532062,Dairy,60.5852,OUT045,2002,3.0,3,3,1314.2892,3,21.6932386127305,11
FDX44,9.3,3,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,3.0,3,3,535.3032,3,5.894293151517553,6
NCN07,18.5,3,0.056816465,Others,132.1284,OUT010,1998,1.0,2,1,263.6568,3,1.9954589626454267,15
NCC31,8.02,3,0.019866705,Household,154.5972,OUT035,2004,1.0,3,3,1402.1748,3,9.069858962516786,9
NCX54,9.195,3,0.048331717,Household,105.1622,OUT017,2007,3.0,3,3,1693.7952,3,16.106502146208427,6
NCO55,12.8,3,0.091221855,Others,105.5938,OUT045,2002,3.0,3,3,2143.876,2,20.303048095626828,11
NCC30,16.6,3,0.027622076000000002,Household,177.6344,OUT049,1999,3.0,1,3,2676.5159999999996,2,15.067554482690287,14
FDI16,14.0,2,0.0,Frozen Foods,53.06399999999999,OUT035,2004,1.0,3,3,905.488,3,17.064073571536262,9
FDP16,18.6,3,0.039355947,Frozen Foods,246.3802,OUT049,1999,3.0,1,3,7370.406,1,29.914765878102216,14
FDB11,16.0,3,0.060836524,Starchy Foods,226.8404,OUT035,2004,1.0,3,3,6301.1312,1,27.77781735528592,9
NCB06,17.6,3,0.082316506,Health and Hygiene,160.692,OUT035,2004,1.0,3,3,1597.92,3,9.943992233589725,9
FDA45,21.25,3,0.155350299,Snack Foods,178.237,OUT035,2004,1.0,3,3,529.311,3,2.969703260265826,9
NCO26,7.235,3,0.076841095,Household,117.5492,OUT035,2004,1.0,3,3,1969.4364,3,16.754145498225423,9
DRJ25,14.6,3,0.151419185,Soft Drinks,50.3692,OUT017,2007,3.0,3,3,1034.6532,3,20.541386402801713,6
FDR28,13.85,1,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,3.0,2,2,1794.3310000000001,3,11.108964159459141,4
FDI04,13.65,2,0.073209447,Frozen Foods,197.6426,OUT018,2009,3.0,2,2,2768.3964,2,14.007083493133567,4
DRK12,12.857645184135976,3,0.041683481,Soft Drinks,31.29,OUT027,1985,3.0,2,4,898.83,3,28.725790987535955,28
FDX20,7.365,3,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,1.0,1,3,3169.208,2,14.012379958615567,16
NCI18,18.35,3,0.014081156000000001,Household,223.5746,OUT018,2009,3.0,2,2,3589.9936,2,16.057251584035036,4
FDB36,5.465,2,0.0,Baking Goods,132.5626,OUT018,2009,3.0,2,2,262.3252,3,1.9788779037224677,4
FDN13,18.6,3,0.152918384,Breakfast,99.8358,OUT017,2007,3.0,3,3,1910.1802,3,19.133218745179583,6
DRD24,13.85,3,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,3.0,3,3,1701.7848,3,12.07664172971868,6
FDQ28,14.0,2,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,2.0,2,3,2471.4496,2,15.98964840818397,26
FDM22,14.0,2,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,2.0,2,3,1331.6,3,24.31524359068001,26
FDR07,12.857645184135976,3,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,3.0,2,4,1808.9786,3,18.647456844388277,28
FDV25,5.905,3,0.045838211,Canned,222.5456,OUT018,2009,3.0,2,2,3315.684,2,14.89889712490384,4
DRF49,7.27,3,0.071077939,Soft Drinks,114.2518,OUT046,1997,1.0,1,3,2618.5914,2,22.919476104534017,16
FDW51,6.155,2,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,1.0,1,3,2769.728,2,12.909114636738195,16
DRL01,19.5,2,0.077608838,Soft Drinks,233.4958,OUT017,2007,3.0,3,3,5375.0034,1,23.01970056848988,6
FDP25,15.2,3,0.021327477,Canned,216.8824,OUT017,2007,3.0,3,3,2838.9712,2,13.08991047682984,6
FDL50,12.15,2,0.042485444000000004,Canned,125.0046,OUT018,2009,3.0,2,2,1743.0644,3,13.944002060724166,4
NCB30,12.857645184135976,3,0.025578526,Household,198.8084,OUT027,1985,3.0,2,4,5555.4352,1,27.94366435221047,28
FDW11,12.6,3,0.048980800000000005,Breads,61.9194,OUT018,2009,3.0,2,2,619.194,3,9.999999999999998,4
NCM43,14.5,3,0.019471688,Others,164.821,OUT035,2004,1.0,3,3,2120.573,2,12.865915144308067,9
FDK44,16.6,3,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,3.0,3,3,3823.0236,2,22.088979383361316,6
FDM15,11.8,2,0.057373797000000004,Meat,151.4366,OUT013,1987,2.0,2,3,1360.2294,3,8.982170756607054,26
FDS31,13.1,2,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,1987,2.0,2,3,3969.4996,2,22.19683300173683,26
FDI32,17.7,3,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,1.0,2,1,345.5502,3,3.0,15
FDR47,17.85,1,0.0,Breads,196.5794,OUT010,1998,1.0,2,1,585.2382,3,2.9771084864436457,15
FDB35,12.3,2,0.064750025,Starchy Foods,92.6804,OUT045,2002,3.0,3,3,1010.6844,3,10.905050042943275,11
NCU05,11.8,3,0.098312421,Health and Hygiene,81.4618,OUT010,1998,1.0,2,1,161.1236,3,1.9779037536612254,15
DRY23,12.857645184135976,2,0.191013663,Soft Drinks,42.1112,OUT019,1985,1.0,1,1,42.6112,3,1.0118733258610535,28
FDO24,11.1,3,0.176573035,Baking Goods,157.4604,OUT045,2002,3.0,3,3,3010.7476,2,19.120665259328696,11
FDQ28,12.857645184135976,2,0.060134441,Frozen Foods,153.0656,OUT027,1985,3.0,2,4,6024.1584,1,39.356709802855775,28
FDV39,11.3,3,0.0072946519999999996,Meat,198.1426,OUT045,2002,3.0,3,3,988.7130000000001,3,4.98990625943134,11
NCO17,12.857645184135976,3,0.128478462,Health and Hygiene,117.944,OUT019,1985,1.0,1,1,239.688,3,2.0322186800515496,28
FDU50,5.75,2,0.075107656,Dairy,112.8176,OUT013,1987,2.0,2,3,1374.2112,3,12.180822850335408,26
FDT12,12.857645184135976,2,0.049381405999999996,Baking Goods,226.8062,OUT027,1985,3.0,2,4,4739.8302,1,20.89815093238192,28
FDK58,11.35,2,0.045165795999999994,Snack Foods,100.0016,OUT018,2009,3.0,2,2,1012.0160000000001,3,10.11999808003072,4
FDO08,12.857645184135976,2,0.09415375,Fruits and Vegetables,165.7526,OUT019,1985,1.0,1,1,657.8104,3,3.9686279430910885,28
NCW29,14.0,3,0.028907832,Health and Hygiene,130.431,OUT049,1999,3.0,1,3,778.9860000000001,3,5.972399199576788,14
FDE04,19.75,2,0.018059621,Frozen Foods,179.766,OUT045,2002,3.0,3,3,2336.958,2,13.000000000000002,11
NCB19,6.525,3,0.09043609400000001,Household,85.0882,OUT049,1999,3.0,1,3,2233.0932,2,26.244452227218343,14
FDV15,10.3,3,0.146399712,Meat,103.9648,OUT049,1999,3.0,1,3,1661.8368,3,15.984610175751794,14
FDL58,5.78,2,0.07426435599999999,Snack Foods,264.7568,OUT049,1999,3.0,1,3,4745.8224,1,17.92521438542844,14
FDA08,11.85,2,0.050186725999999994,Fruits and Vegetables,164.1526,OUT045,2002,3.0,3,3,3124.5994,2,19.034723787500166,11
FDT43,16.35,3,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,3.0,2,2,467.3916,3,9.323144313856908,4
NCX06,12.857645184135976,3,0.01561108,Household,182.5976,OUT027,1985,3.0,2,4,5070.7328,1,27.76998602391269,28
FDT20,10.5,3,0.041395445,Fruits and Vegetables,37.6164,OUT046,1997,1.0,1,3,540.6296,3,14.372178092534108,16
FDB41,19.0,2,0.097313129,Frozen Foods,48.0718,OUT046,1997,1.0,1,3,992.7078,3,20.65052275970527,16
NCN55,14.6,3,0.059582996,Others,238.8538,OUT049,1999,3.0,1,3,6008.845,1,25.156999804901577,14
FDE40,12.857645184135976,2,0.09866365199999999,Dairy,62.9194,OUT027,1985,3.0,2,4,2105.2596,2,33.45962612485179,28
FDX49,12.857645184135976,1,0.101338651,Canned,232.63,OUT027,1985,3.0,2,4,5359.69,1,23.03954777973606,28
NCM53,18.75,3,0.052146455999999994,Health and Hygiene,104.62799999999999,OUT045,2002,3.0,3,3,745.696,3,7.127117024123563,11
FDE36,5.26,2,0.041764487,Baking Goods,161.8868,OUT035,2004,1.0,3,3,3275.736,2,20.234731923788722,9
FDN57,18.25,3,0.054344185999999996,Snack Foods,140.2154,OUT045,2002,3.0,3,3,1701.7848,3,12.136932177207354,11
FDI24,12.857645184135976,3,0.07836248400000001,Baking Goods,177.937,OUT027,1985,3.0,2,4,6704.606,1,37.67966190280829,28
FDI19,15.1,3,0.052339069,Meat,242.7512,OUT046,1997,1.0,1,3,4119.9704,1,16.971987780081005,16
FDF24,15.5,2,0.042464962,Baking Goods,81.5934,OUT010,1998,1.0,2,1,327.5736,3,4.014707071895521,15
FDG52,13.65,3,0.06573288299999999,Frozen Foods,45.7402,OUT049,1999,3.0,1,3,780.9834,3,17.074332862558535,14
DRF36,16.1,1,0.023625114,Soft Drinks,189.3846,OUT045,2002,3.0,3,3,3630.6074,2,19.170552410280454,11
FDS45,12.857645184135976,2,0.051643608,Snack Foods,107.3622,OUT019,1985,1.0,1,1,317.5866,3,2.958085806736449,28
FDX40,12.85,3,0.165694219,Frozen Foods,39.7164,OUT010,1998,1.0,2,1,231.6984,3,5.833821796537451,15
DRK12,9.5,1,0.041878397000000005,Soft Drinks,32.99,OUT035,2004,1.0,3,3,133.16,3,4.0363746589875715,9
DRC27,13.8,3,0.058091482,Dairy,245.1802,OUT035,2004,1.0,3,3,5650.6446,1,23.0469042769359,9
FDL58,5.78,2,0.0,Snack Foods,263.7568,OUT017,2007,3.0,3,3,2636.5679999999998,2,9.99620862855479,6
NCD30,19.7,3,0.026903714,Household,96.0726,OUT045,2002,3.0,3,3,1272.3438,3,13.24356580336121,11
NCZ54,14.65,3,0.0,Household,161.5552,OUT010,1998,1.0,2,1,324.9104,3,2.011141702650239,15
