Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,OUT010,OUT013,OUT017,OUT018,OUT019,OUT027,OUT035,OUT045,OUT046,OUT049
FDL50,12.15,1,0.042277867000000004,0,126.5046,26,2,2,2,373.5138,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0,0.08949892599999999,1,178.1002,15,2,2,0,358.2004,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,0,0.0,1,153.3024,11,2,2,2,2428.8384,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0,0.025879577,0,265.2226,11,2,2,2,5815.0972,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,1,0.121632721,2,60.622,16,0,0,2,2576.646,0,0,0,0,0,0,0,0,1,0
FDS02,12.857645184135976,1,0.25539489600000004,1,196.8794,28,0,0,0,780.3176,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0,0.067779712,1,143.8812,16,0,0,2,3134.5864,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0,0.159803853,2,141.5154,26,2,2,2,850.8924,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,1,0.028696932,0,117.0492,26,2,2,2,810.9444,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0,0.065041581,2,196.3794,6,2,2,2,3121.2704,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0,0.028760012999999997,2,151.4708,6,2,2,2,4815.0656,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0,0.010053105,2,249.0408,4,1,2,1,6258.52,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0,0.048157338,2,106.1622,11,2,2,2,2117.244,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0,0.071958197,1,38.0506,14,1,0,2,796.9626,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0,0.17348130399999998,2,194.511,16,0,0,2,4910.275,0,0,0,0,0,0,0,0,1,0
FDI26,12.857645184135976,0,0.061082177,0,180.0344,28,0,0,0,892.172,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0,0.0,2,246.9144,4,1,2,1,3185.1872,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,1,0.040071131,1,87.3514,11,2,2,2,1062.6168,0,0,0,0,0,0,0,1,0,0
FDF09,12.857645184135976,0,0.012090074,2,38.2848,28,1,2,3,484.7024,0,0,0,0,0,1,0,0,0,0
FDY40,12.857645184135976,1,0.15028599,2,51.0692,28,0,0,0,147.8076,0,0,0,0,1,0,0,0,0,0
FDY45,12.857645184135976,0,0.026015518999999997,2,255.8356,28,1,2,3,2543.356,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0,0.195068226,2,185.4266,15,2,2,0,184.4266,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,0,0.033082215,1,172.5738,9,0,2,2,4865.6664,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,1,0.078946455,1,186.024,11,2,2,2,1118.5439999999999,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0,0.041700756,1,164.8526,11,2,2,2,2302.3364,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0,0.14342264300000002,1,95.84100000000001,16,0,0,2,2027.361,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,1,0.10529607199999999,2,170.1764,16,0,0,2,3435.528,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,1,0.121531501,2,59.222,26,2,2,2,599.22,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0,0.0,0,164.7526,11,2,2,2,4604.6728,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0,0.011324862,0,189.6188,6,2,2,2,2285.0256,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0,0.186357148,2,254.3698,14,1,0,2,5580.7356,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,1,0.024205661,2,114.0176,16,0,0,2,2290.3520000000003,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0,0.033230816,2,172.3422,14,1,0,2,1207.0954,0,0,0,0,0,0,0,0,0,1
FDN48,12.857645184135976,0,0.113720344,2,89.9804,28,0,0,0,643.1628,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0,0.11255650699999999,2,104.9622,6,2,2,2,1587.933,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0,0.0,0,222.5456,11,2,2,2,5305.0944,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0,0.05935224099999999,2,101.87,16,0,0,2,1697.79,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,1,0.014087057,2,180.3344,16,0,0,2,1427.4752,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0,0.045230944,2,187.9556,4,1,2,1,4693.89,0,0,0,1,0,0,0,0,0,0
NCL18,12.857645184135976,0,0.293417759,2,194.6136,28,0,0,0,583.2408,0,0,0,0,1,0,0,0,0,0
FDR12,12.857645184135976,1,0.031382044,2,171.3764,28,1,2,3,3091.9752,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,1,0.12639886,2,177.0028,6,2,2,2,2479.4392,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0,0.025403897999999998,2,160.99200000000002,9,0,2,2,2716.4640000000004,0,0,0,0,0,0,1,0,0,0
FDQ49,12.857645184135976,1,0.039057677,0,155.963,28,1,2,3,3285.723,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,1,0.123115764,2,95.6436,16,0,0,2,661.8052,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0,0.039624006,1,117.2808,14,1,0,2,1523.3504,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0,0.040421193,2,122.17299999999999,15,2,2,0,369.519,1,0,0,0,0,0,0,0,0,0
DRG27,8.895,0,0.10527411099999999,1,39.9138,14,1,0,2,690.4346,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0,0.033970195,1,55.1614,11,2,2,2,1381.535,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0,0.053212652,2,57.893,9,0,2,2,622.523,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0,0.024378706,1,114.5492,9,0,2,2,1274.3412,0,0,0,0,0,0,1,0,0,0
FDU04,12.857645184135976,0,0.009714595,2,120.0414,28,0,0,0,487.3656,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0,0.131383762,2,246.046,14,1,0,2,1231.73,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,1,0.07461309,2,187.4556,9,0,2,2,3755.112,0,0,0,0,0,0,1,0,0,0
NCP18,12.857645184135976,0,0.028459761,2,149.9708,28,1,2,3,4363.6532,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,1,0.07462720099999999,2,187.8556,16,0,0,2,1314.2892,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0,0.063695084,2,151.0708,11,2,2,2,1805.6496,0,0,0,0,0,0,0,1,0,0
FDD10,12.857645184135976,1,0.045797829000000005,2,178.5344,28,1,2,3,2854.9504,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,1,0.11585722300000001,2,179.1028,14,1,0,2,3896.2616,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,1,0.024832806000000002,1,38.7822,26,2,2,2,667.7974,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0,0.034027909,2,212.0902,4,1,2,1,3185.853,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,1,0.046769599999999995,0,141.1838,26,2,2,2,2247.7408,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,1,0.11657670199999999,2,163.121,26,2,2,2,1794.3310000000001,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,1,0.0,2,121.3098,11,2,2,2,2530.7058,0,0,0,0,0,0,0,1,0,0
DRE60,12.857645184135976,0,0.278974075,1,225.372,28,0,0,0,679.1160000000001,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0,0.035913805,1,41.4138,26,2,2,2,812.2760000000001,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0,0.079806266,1,232.53,16,0,0,2,699.09,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0,0.005505481,2,102.4016,6,2,2,2,2732.4432,0,0,1,0,0,0,0,0,0,0
FDW39,12.857645184135976,1,0.064625342,1,176.937,28,0,0,0,176.437,0,0,0,0,1,0,0,0,0,0
FDX34,12.857645184135976,0,0.071636937,2,121.7098,28,1,2,3,4097.3332,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,1,0.0,0,173.2054,11,2,2,2,3151.8972,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0,0.032677677999999995,2,239.0906,14,1,0,2,5942.265,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,1,0.160760054,2,192.4478,6,2,2,2,4843.695,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0,0.06911065,2,109.0228,9,0,2,2,2542.0244,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0,0.041177505,1,140.3154,6,2,2,2,2552.6772,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0,0.040081193,2,227.0694,4,1,2,1,1141.847,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0,0.035307322,2,47.5034,6,2,2,2,680.4476,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0,0.063017847,1,159.0578,11,2,2,2,2085.9514,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,1,0.171938781,0,92.512,15,2,2,0,186.424,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,1,0.040197932,0,190.153,9,0,2,2,3036.048,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0,0.049058014000000004,0,62.7194,6,2,2,2,866.8716,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0,0.01161096,2,95.041,9,0,2,2,868.8689999999999,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0,0.183507295,1,82.4276,16,0,0,2,1137.1864,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0,0.102349519,1,52.7956,6,2,2,2,928.1252,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0,0.08670898699999999,1,151.7682,26,2,2,2,762.341,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0,0.032835147,2,40.2822,11,2,2,2,707.0796,0,0,0,0,0,0,0,1,0,0
FDY25,12.857645184135976,0,0.033809913,0,180.5976,28,1,2,3,7968.2944,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0,0.07266912,2,160.292,16,0,0,2,1438.128,0,0,0,0,0,0,0,0,1,0
NCR53,12.857645184135976,0,0.144338493,1,224.4404,28,1,2,3,6976.2524,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0,0.009163216,2,101.7016,15,2,2,0,101.2016,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,0,0.011307038,0,188.5188,4,1,2,1,952.0939999999999,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0,0.076855628,2,116.0492,16,0,0,2,1969.4364,0,0,0,0,0,0,0,0,1,0
FDH35,12.857645184135976,0,0.059956876,0,165.4526,28,1,2,3,5262.4832,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,0,0.038532062,1,60.5852,11,2,2,2,1314.2892,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0,0.043209581,2,90.8172,6,2,2,2,535.3032,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0,0.056816465,0,132.1284,15,2,2,0,263.6568,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,0,0.019866705,2,154.5972,9,0,2,2,1402.1748,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,0,0.048331717,2,105.1622,6,2,2,2,1693.7952,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,0,0.091221855,0,105.5938,11,2,2,2,2143.876,0,0,0,0,0,0,0,1,0,0
NCC30,16.6,0,0.027622076000000002,2,177.6344,14,1,0,2,2676.5159999999996,0,0,0,0,0,0,0,0,0,1
FDI16,14.0,1,0.0,2,53.06399999999999,9,0,2,2,905.488,0,0,0,0,0,0,1,0,0,0
FDP16,18.6,0,0.039355947,2,246.3802,14,1,0,2,7370.406,0,0,0,0,0,0,0,0,0,1
FDB11,16.0,0,0.060836524,0,226.8404,9,0,2,2,6301.1312,0,0,0,0,0,0,1,0,0,0
NCB06,17.6,0,0.082316506,1,160.692,9,0,2,2,1597.92,0,0,0,0,0,0,1,0,0,0
FDA45,21.25,0,0.155350299,2,178.237,9,0,2,2,529.311,0,0,0,0,0,0,1,0,0,0
NCO26,7.235,0,0.076841095,2,117.5492,9,0,2,2,1969.4364,0,0,0,0,0,0,1,0,0,0
DRJ25,14.6,0,0.151419185,1,50.3692,6,2,2,2,1034.6532,0,0,1,0,0,0,0,0,0,0
FDR28,13.85,1,0.026001976,2,161.52100000000002,4,1,2,1,1794.3310000000001,0,0,0,1,0,0,0,0,0,0
FDI04,13.65,1,0.073209447,2,197.6426,4,1,2,1,2768.3964,0,0,0,1,0,0,0,0,0,0
DRK12,12.857645184135976,0,0.041683481,1,31.29,28,1,2,3,898.83,0,0,0,0,0,1,0,0,0,0
FDX20,7.365,0,0.042560252,2,226.172,16,0,0,2,3169.208,0,0,0,0,0,0,0,0,1,0
NCI18,18.35,0,0.014081156000000001,2,223.5746,4,1,2,1,3589.9936,0,0,0,1,0,0,0,0,0,0
FDB36,5.465,1,0.0,2,132.5626,4,1,2,1,262.3252,0,0,0,1,0,0,0,0,0,0
FDN13,18.6,0,0.152918384,0,99.8358,6,2,2,2,1910.1802,0,0,1,0,0,0,0,0,0,0
DRD24,13.85,0,0.030969273999999998,1,140.9154,6,2,2,2,1701.7848,0,0,1,0,0,0,0,0,0,0
FDQ28,14.0,1,0.06037677599999999,2,154.5656,26,2,2,2,2471.4496,0,1,0,0,0,0,0,0,0,0
FDM22,14.0,1,0.04192285,2,54.763999999999996,26,2,2,2,1331.6,0,1,0,0,0,0,0,0,0,0
FDR07,12.857645184135976,0,0.077367431,2,97.0094,28,1,2,3,1808.9786,0,0,0,0,0,1,0,0,0,0
FDV25,5.905,0,0.045838211,0,222.5456,4,1,2,1,3315.684,0,0,0,1,0,0,0,0,0,0
DRF49,7.27,0,0.071077939,1,114.2518,16,0,0,2,2618.5914,0,0,0,0,0,0,0,0,1,0
FDW51,6.155,1,0.09465987099999999,1,214.55599999999998,16,0,0,2,2769.728,0,0,0,0,0,0,0,0,1,0
DRL01,19.5,1,0.077608838,1,233.4958,6,2,2,2,5375.0034,0,0,1,0,0,0,0,0,0,0
FDP25,15.2,0,0.021327477,0,216.8824,6,2,2,2,2838.9712,0,0,1,0,0,0,0,0,0,0
FDL50,12.15,1,0.042485444000000004,0,125.0046,4,1,2,1,1743.0644,0,0,0,1,0,0,0,0,0,0
NCB30,12.857645184135976,0,0.025578526,2,198.8084,28,1,2,3,5555.4352,0,0,0,0,0,1,0,0,0,0
FDW11,12.6,0,0.048980800000000005,0,61.9194,4,1,2,1,619.194,0,0,0,1,0,0,0,0,0,0
NCM43,14.5,0,0.019471688,0,164.821,9,0,2,2,2120.573,0,0,0,0,0,0,1,0,0,0
FDK44,16.6,0,0.122918852,2,173.0738,6,2,2,2,3823.0236,0,0,1,0,0,0,0,0,0,0
FDM15,11.8,1,0.057373797000000004,1,151.4366,26,2,2,2,1360.2294,0,1,0,0,0,0,0,0,0,0
FDS31,13.1,1,0.044155597000000005,2,178.8318,26,2,2,2,3969.4996,0,1,0,0,0,0,0,0,0,0
FDI32,17.7,0,0.291865402,2,115.1834,15,2,2,0,345.5502,1,0,0,0,0,0,0,0,0,0
FDR47,17.85,0,0.0,0,196.5794,15,2,2,0,585.2382,1,0,0,0,0,0,0,0,0,0
FDB35,12.3,1,0.064750025,0,92.6804,11,2,2,2,1010.6844,0,0,0,0,0,0,0,1,0,0
NCU05,11.8,0,0.098312421,1,81.4618,15,2,2,0,161.1236,1,0,0,0,0,0,0,0,0,0
DRY23,12.857645184135976,1,0.191013663,1,42.1112,28,0,0,0,42.6112,0,0,0,0,1,0,0,0,0,0
FDO24,11.1,0,0.176573035,2,157.4604,11,2,2,2,3010.7476,0,0,0,0,0,0,0,1,0,0
FDQ28,12.857645184135976,1,0.060134441,2,153.0656,28,1,2,3,6024.1584,0,0,0,0,0,1,0,0,0,0
FDV39,11.3,0,0.0072946519999999996,1,198.1426,11,2,2,2,988.7130000000001,0,0,0,0,0,0,0,1,0,0
NCO17,12.857645184135976,0,0.128478462,1,117.944,28,0,0,0,239.688,0,0,0,0,1,0,0,0,0,0
FDU50,5.75,1,0.075107656,1,112.8176,26,2,2,2,1374.2112,0,1,0,0,0,0,0,0,0,0
FDT12,12.857645184135976,1,0.049381405999999996,2,226.8062,28,1,2,3,4739.8302,0,0,0,0,0,1,0,0,0,0
FDK58,11.35,1,0.045165795999999994,2,100.0016,4,1,2,1,1012.0160000000001,0,0,0,1,0,0,0,0,0,0
FDO08,12.857645184135976,1,0.09415375,2,165.7526,28,0,0,0,657.8104,0,0,0,0,1,0,0,0,0,0
NCW29,14.0,0,0.028907832,1,130.431,14,1,0,2,778.9860000000001,0,0,0,0,0,0,0,0,0,1
FDE04,19.75,1,0.018059621,2,179.766,11,2,2,2,2336.958,0,0,0,0,0,0,0,1,0,0
NCB19,6.525,0,0.09043609400000001,2,85.0882,14,1,0,2,2233.0932,0,0,0,0,0,0,0,0,0,1
FDV15,10.3,0,0.146399712,1,103.9648,14,1,0,2,1661.8368,0,0,0,0,0,0,0,0,0,1
FDL58,5.78,1,0.07426435599999999,2,264.7568,14,1,0,2,4745.8224,0,0,0,0,0,0,0,0,0,1
FDA08,11.85,1,0.050186725999999994,2,164.1526,11,2,2,2,3124.5994,0,0,0,0,0,0,0,1,0,0
FDT43,16.35,0,0.020631654,2,50.1324,4,1,2,1,467.3916,0,0,0,1,0,0,0,0,0,0
NCX06,12.857645184135976,0,0.01561108,2,182.5976,28,1,2,3,5070.7328,0,0,0,0,0,1,0,0,0,0
FDT20,10.5,0,0.041395445,2,37.6164,16,0,0,2,540.6296,0,0,0,0,0,0,0,0,1,0
FDB41,19.0,1,0.097313129,2,48.0718,16,0,0,2,992.7078,0,0,0,0,0,0,0,0,1,0
NCN55,14.6,0,0.059582996,0,238.8538,14,1,0,2,6008.845,0,0,0,0,0,0,0,0,0,1
FDE40,12.857645184135976,1,0.09866365199999999,1,62.9194,28,1,2,3,2105.2596,0,0,0,0,0,1,0,0,0,0
FDX49,12.857645184135976,1,0.101338651,0,232.63,28,1,2,3,5359.69,0,0,0,0,0,1,0,0,0,0
NCM53,18.75,0,0.052146455999999994,1,104.62799999999999,11,2,2,2,745.696,0,0,0,0,0,0,0,1,0,0
FDE36,5.26,1,0.041764487,2,161.8868,9,0,2,2,3275.736,0,0,0,0,0,0,1,0,0,0
FDN57,18.25,0,0.054344185999999996,2,140.2154,11,2,2,2,1701.7848,0,0,0,0,0,0,0,1,0,0
FDI24,12.857645184135976,0,0.07836248400000001,2,177.937,28,1,2,3,6704.606,0,0,0,0,0,1,0,0,0,0
FDI19,15.1,0,0.052339069,1,242.7512,16,0,0,2,4119.9704,0,0,0,0,0,0,0,0,1,0
FDF24,15.5,1,0.042464962,2,81.5934,15,2,2,0,327.5736,1,0,0,0,0,0,0,0,0,0
FDG52,13.65,0,0.06573288299999999,2,45.7402,14,1,0,2,780.9834,0,0,0,0,0,0,0,0,0,1
DRF36,16.1,0,0.023625114,1,189.3846,11,2,2,2,3630.6074,0,0,0,0,0,0,0,1,0,0
FDS45,12.857645184135976,1,0.051643608,2,107.3622,28,0,0,0,317.5866,0,0,0,0,1,0,0,0,0,0
FDX40,12.85,0,0.165694219,2,39.7164,15,2,2,0,231.6984,1,0,0,0,0,0,0,0,0,0
DRK12,9.5,0,0.041878397000000005,1,32.99,9,0,2,2,133.16,0,0,0,0,0,0,1,0,0,0
DRC27,13.8,0,0.058091482,1,245.1802,9,0,2,2,5650.6446,0,0,0,0,0,0,1,0,0,0
FDL58,5.78,1,0.0,2,263.7568,6,2,2,2,2636.5679999999998,0,0,1,0,0,0,0,0,0,0
NCD30,19.7,0,0.026903714,2,96.0726,11,2,2,2,1272.3438,0,0,0,0,0,0,0,1,0,0
NCZ54,14.65,0,0.0,2,161.5552,15,2,2,0,324.9104,1,0,0,0,0,0,0,0,0,0
FDE10,6.67,1,0.150554711,2,130.0626,15,2,2,0,131.1626,1,0,0,0,0,0,0,0,0,0
FDR44,6.11,1,0.0,2,131.2968,15,2,2,0,260.9936,1,0,0,0,0,0,0,0,0,0
FDP28,13.65,1,0.13497562800000001,2,260.0936,15,2,2,0,260.9936,1,0,0,0,0,0,0,0,0,0
FDX15,17.2,0,0.15616879,1,160.6578,26,2,2,2,3690.5294,0,1,0,0,0,0,0,0,0,0
FDA39,6.32,0,0.0,1,40.2822,9,0,2,2,1139.1838,0,0,0,0,0,0,1,0,0,0
FDY24,4.88,1,0.133700752,2,52.9298,14,1,0,2,1995.4026,0,0,0,0,0,0,0,0,0,1
FDC60,5.425,1,0.115119905,2,88.3514,6,2,2,2,1416.8224,0,0,1,0,0,0,0,0,0,0
FDH28,15.85,1,0.11003099699999999,2,37.2506,16,0,0,2,265.6542,0,0,0,0,0,0,0,0,1,0
FDT25,7.5,0,0.051038045,0,121.7072,6,2,2,2,3552.7088,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0,0.062837968,1,161.5578,26,2,2,2,2406.867,0,1,0,0,0,0,0,0,0,0
NCO07,12.857645184135976,0,0.017116983,0,211.956,28,0,0,0,213.05599999999998,0,0,0,0,1,0,0,0,0,0
FDW20,20.75,0,0.024129332000000003,2,124.17299999999999,26,2,2,2,2956.152,0,1,0,0,0,0,0,0,0,0
DRF27,12.857645184135976,0,0.049754975,1,152.134,28,0,0,0,153.134,0,0,0,0,1,0,0,0,0,0
FDS49,9.0,0,0.0,0,79.7644,9,0,2,2,1649.8524,0,0,0,0,0,0,1,0,0,0
FDX25,12.857645184135976,0,0.101561568,0,181.9292,28,1,2,3,3101.2964,0,0,0,0,0,1,0,0,0,0
NCX42,12.857645184135976,0,0.0059496440000000005,2,165.6526,28,1,2,3,4769.1254,0,0,0,0,0,1,0,0,0,0
FDG33,12.857645184135976,1,0.13956116,0,170.4764,28,1,2,3,3435.528,0,0,0,0,0,1,0,0,0,0
